date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-07-03","238
                                       ",189,189,111,4,39,1.28,83
"
                                        2014-07-04","237
                                       ",189,186,118,4,39,1.26,102
"
                                        2014-07-05","167
                                       ",188,124,105,3,38,1.14,95
"
                                        2014-07-06","253
                                       ",190,202,154,8,35,1.35,108
"
                                        2014-07-07","210
                                       ",187,165,185,8,40,1.17,114
"
                                        2014-07-08","150
                                       ",179,105,123,8,40,0.86,75
"
                                        2014-07-09","59
                                       ",75,24,69,5,54,0.56,47
"
                                        2014-07-10","78
                                       ",109,27,80,8,42,0.51,95
"
                                        2014-07-11","60
                                       ",71,26,63,4,37,0.44,82
"
                                        2014-07-12","49
                                       ",58,12,37,2,32,0.32,86
"
                                        2014-07-13","49
                                       ",61,16,52,2,39,0.40,64
"
                                        2014-07-14","91
                                       ",123,26,63,4,42,0.52,110
"
                                        2014-07-15","111
                                       ",182,49,110,6,28,0.60,162
"
                                        2014-07-16","117
                                       ",178,86,107,4,43,0.80,64
"
                                        2014-07-17","173
                                       ",189,132,134,4,40,1.84,80
"
                                        2014-07-18","185
                                       ",190,141,109,6,37,1.63,121
"
                                        2014-07-19","116
                                       ",179,81,101,2,32,0.75,109
"
                                        2014-07-20","97
                                       ",164,66,91,3,26,0.72,104
"
                                        2014-07-21","51
                                       ",60,26,42,4,23,0.48,71
"
                                        2014-07-22","39
                                       ",22,11,36,7,39,0.47,37
"
                                        2014-07-23","63
                                       ",116,25,74,5,59,0.71,41
"
                                        2014-07-24","86
                                       ",155,61,112,6,68,0.98,53
"
                                        2014-07-25","109
                                       ",176,64,90,6,42,1.22,108
"
                                        2014-07-26","155
                                       ",180,94,135,10,41,1.18,143
"
                                        2014-07-27","160
                                       ",184,106,154,17,34,0.98,165
"
                                        2014-07-28","168
                                       ",189,121,155,8,32,0.94,133
"
                                        2014-07-29","164
                                       ",186,125,149,5,28,0.85,137
"
                                        2014-07-30","160
                                       ",189,119,68,2,28,1.35,104
"
                                        2014-07-31","244
                                       ",190,193,72,3,35,1.62,104
"
                                        2014-08-01","196
                                       ",189,148,126,3,34,1.33,112
"
                                        2014-08-02","164
                                       ",185,124,131,2,39,1.07,111
"
                                        2014-08-03","151
                                       ",183,110,138,2,38,1.01,107
"
                                        2014-08-04","50
                                       ",32,31,42,2,36,0.61,38
"
                                        2014-08-05","48
                                       ",60,24,49,5,37,0.58,58
"
                                        2014-08-06","59
                                       ",89,31,63,2,46,0.58,66
"
                                        2014-08-07","114
                                       ",190,61,92,10,44,1.13,124
"
                                        2014-08-09","133
                                       ",189,81,123,8,41,1.08,125
"
                                        2014-08-10","78
                                       ",138,32,51,2,33,0.60,106
"
                                        2014-08-11","51
                                       ",53,23,48,2,39,0.48,80
"
                                        2014-08-12","70
                                       ",123,24,57,5,44,0.65,97
"
                                        2014-08-13","45
                                       ",54,25,35,2,34,0.61,59
"
                                        2014-08-14","61
                                       ",119,29,44,3,38,0.63,75
"
                                        2014-08-15","73
                                       ",108,33,65,4,47,0.61,89
"
                                        2014-08-16","97
                                       ",145,54,92,6,49,0.87,121
"
                                        2014-08-17","96
                                       ",174,52,87,4,31,0.78,136
"
                                        2014-08-18","88
                                       ",172,57,85,5,37,0.82,117
"
                                        2014-08-19","129
                                       ",187,85,119,5,40,0.97,129
"
                                        2014-08-20","143
                                       ",185,103,145,13,40,1.07,133
"
                                        2014-08-21","178
                                       ",188,126,168,8,48,1.15,120
"
                                        2014-08-23","142
                                       ",184,106,138,4,54,1.09,114
"
                                        2014-08-24","46
                                       ",41,16,37,4,27,0.44,72
"
                                        2014-08-25","45
                                       ",33,16,42,3,36,0.45,64
"
                                        2014-08-26","64
                                       ",78,24,71,4,60,0.54,59
"
                                        2014-08-27","90
                                       ",167,47,106,7,59,0.70,101
"
                                        2014-08-28","104
                                       ",177,77,119,6,53,0.91,94
"
                                        2014-08-29","98
                                       ",170,73,81,3,35,0.98,104
"
                                        2014-08-30","170
                                       ",189,128,147,4,58,1.53,43
"
                                        2014-08-31","87
                                       ",163,64,49,2,29,0.99,86
"
                                        2014-09-01","126
                                       ",178,94,83,3,45,1.59,57
"
                                        2014-09-02","36
                                       ",24,19,14,2,30,0.83,58
"
                                        2014-09-03","36
                                       ",39,14,34,5,37,0.55,57
"
                                        2014-09-04","70
                                       ",117,40,86,4,66,0.86,48
"
                                        2014-09-05","120
                                       ",166,86,137,8,51,1.03,104
"
                                        2014-09-06","183
                                       ",190,137,161,11,39,1.38,109
"
                                        2014-09-07","196
                                       ",189,150,182,9,43,1.26,92
"
                                        2014-09-08","46
                                       ",38,13,30,3,24,0.34,74
"
                                        2014-09-09","75
                                       ",127,35,82,5,48,0.65,84
"
                                        2014-09-10","97
                                       ",165,63,111,11,56,1.08,92
"
                                        2014-09-11","109
                                       ",185,82,122,14,63,1.41,58
"
                                        2014-09-12","98
                                       ",185,72,53,3,50,0.96,42
"
                                        2014-09-13","93
                                       ",176,67,96,7,49,0.80,69
"
                                        2014-09-14","69
                                       ",158,41,76,3,47,0.54,35
"
                                        2014-09-15","45
                                       ",68,17,47,5,36,0.40,38
"
                                        2014-09-16","71
                                       ",166,38,91,4,66,0.60,19
"
                                        2014-09-17","75
                                       ",179,50,88,3,61,0.71,26
"
                                        2014-09-18","88
                                       ",174,62,94,3,58,0.73,59
"
                                        2014-09-19","102
                                       ",175,76,113,5,61,0.88,53
"
                                        2014-09-20","159
                                       ",187,121,126,4,53,1.19,78
"
                                        2014-09-21","134
                                       ",180,101,120,14,45,1.72,67
"
                                        2014-09-22","124
                                       ",175,93,107,10,58,1.98,22
"
                                        2014-09-23","66
                                       ",125,47,22,2,40,1.08,14
"
                                        2014-09-24","49
                                       ",54,33,40,2,44,0.79,33
"
                                        2014-09-25","139
                                       ",184,104,127,3,53,1.29,26
"
                                        2014-09-26","162
                                       ",181,122,100,8,62,1.58,21
"
                                        2014-09-27","51
                                       ",44,30,36,2,41,0.58,45
"
                                        2014-09-28","84
                                       ",139,56,107,8,67,1.23,18
"
                                        2014-09-29","78
                                       ",162,51,76,3,38,0.88,32
"
                                        2014-09-30","48
                                       ",76,23,51,7,39,0.62,24
"
                                        2014-10-01","91
                                       ",166,66,77,4,57,0.97,3
"
                                        2014-10-02","75
                                       ",108,54,51,4,46,0.95,18
"
                                        2014-10-03","119
                                       ",175,89,108,4,52,1.59,8
"
                                        2014-10-04","101
                                       ",168,75,45,2,38,1.13,37
"
                                        2014-10-05","48
                                       ",18,29,40,2,29,0.70,38
"
                                        2014-10-06","47
                                       ",13,25,50,2,46,0.46,36
"
                                        2014-10-07","179
                                       ",179,139,181,12,86,1.29,46
"
                                        2014-10-08","309
                                       ",186,258,292,9,102,2.09,30
"
                                        2014-10-09","380
                                       ",187,331,354,5,92,2.29,34
"
                                        2014-10-10","351
                                       ",187,300,268,12,84,2.36,48
"
                                        2014-10-11","233
                                       ",186,190,126,6,60,1.80,38
"
                                        2014-10-12","25
                                       ",2,6,8,2,22,0.25,45
